propertyCode,distanceCoworking
93713058,2802
95768330,3313
95768462,3327
95767951,2213
95720789,1264
95726855,543
95599661,2394
95767501,2797
95767433,4181
95600514,137
95599612,1215
95302774,1883
95234995,1793
95659654,918
91679352,3638
95302409,4195
95320802,2147
95302103,2474
95163599,2833
95766665,41
95766638,2394
33924117,1809
95464308,337
95449159,423
95765238,1909
95763674,1433
95761970,3326
95761969,2540
95761772,2864
86741556,3416
95761479,2182
88099280,1578
95759210,1689
95756481,1166
82411193,1877
95752777,3022
95752602,819
95752244,471
95751671,1137
95751360,1051
95748088,2368
95741591,1074
95738471,218
95736076,1686
95735852,3340
95735706,495
95735682,2977
95733247,1570
94779007,179
94210159,886
92070684,393
91755682,1850
91237308,936
89727388,232
95668208,3942
95659700,3824
95654534,1464
95614955,745
95568845,1456
95568276,1346
95543183,1406
95525691,3979
95760185,3559
95715217,1561
95207292,1578
89289756,410
95720720,746
95733267,638
95732381,1546
95694356,2866
34117979,1600
35017601,1029
95596194,3925
95593845,668
95593562,3217
95560332,3550
95515474,3801
91709217,499
95495798,925
95235390,2858
89890085,333
90132883,3398
89891542,268
93832407,3690
90132879,3398
39254167,3481
95740814,2479
95107042,980
95732932,2792
95732721,2289
95644068,444
95614656,1892
94437477,197
95517007,2005
94318830,560
95427818,3651
95427410,585
95414951,3250
95385238,638
95166059,2168
94942347,1689
93512229,3042
95756312,2052
95752523,2380
95741733,1047
88608099,4210
95645862,2106
94198529,647
95619368,3832
95619143,3635
95587806,3723
95587748,1665
95581635,2217
95568406,486
95568088,4149
95558572,2213
95512761,3619
95511499,663
86642069,3322
95334480,2409
95285806,2893
95261682,2977
95133031,256
83878932,3823
94674793,3009
83416192,335
94155298,361
36221589,545
35563634,545
81458321,2257
95734874,1239
95734271,124
95722961,2293
95721825,2639
95721517,3657
95720845,3312
95686420,1775
95676355,3414
95660463,417
95600342,1095
37373014,2435
95551486,193
95465127,1686
95429041,1908
95406765,4124
95371029,825
95308715,1488
95220217,2945
95096672,515
94959175,1113
94893436,4085
94686973,562
94605965,1590
94310256,1998
93806401,413
93203944,796
93235118,4022
93209925,3832
93178062,3880
92792991,1877
95706371,2402
95632848,1938
95703586,1996
87471708,808
95733946,4246
95727706,1486
95727577,3107
95726732,4421
95693370,2184
92760464,150
95632568,3240
92961519,3968
95620449,2125
95614155,1978
90114143,1703
88190623,2881
95573014,2727
95388603,394
92027980,2144
95265701,526
95171106,2848
95093890,2621
94269304,1401
94045603,2232
93286367,1011
93132353,538
706709,531
95721367,915
86971676,1769
95672494,2345
95618033,3560
95527170,999
95489598,1766
93573334,3568
95421095,766
25247817,2210
90114796,496
94907698,1662
94504816,3520
93941708,1356
93896864,648
93709904,759
87026121,419
89112698,445
90560508,4282
89425470,189
89131459,2022
95757600,1502
95515265,810
88817181,672
95711992,1657
40258916,875
95627952,3111
95621234,353
95603207,4072
95593914,3532
95591042,1961
95590989,3785
95588550,2068
95587106,1717
95570880,3956
92156499,3329
95543417,2014
91353889,2495
91219135,4191
95505317,777
95474882,657
95383665,2291
94861026,173
28046282,2383
94596787,3398
95265996,3270
94092638,469
91110829,3964
95710132,2338
95655381,1218
95627727,1511
95557909,1388
95556796,3442
92961843,2196
95443468,3731
95432631,3643
95394451,2837
95290261,794
94812528,1159
93468717,392
93468716,457
91690232,1243
89090584,3647
95758939,1314
95735326,3869
95098769,844
95728176,455
95726084,301
95689662,3802
95648051,164
95600581,1757
95597748,1629
38232477,1002
95540304,3242
88065871,3378
95500504,3372
95499468,1486
95495338,1629
95483739,564
95468836,488
95264251,1558
85974388,1664
95753079,2202
95747604,2834
95741707,2278
95711138,1815
95675019,2202
93676738,3199
95627453,817
95596138,590
95512158,590
36568059,1072
95448538,3887
95409350,907
95301029,1017
91759956,3986
94789232,4361
94777934,649
94694481,4270
94313951,2664
94098426,798
94050105,1899
93304615,2791
93176793,4108
90553030,3456
86742165,927
86718014,248
95756131,1964
95678223,1674
95654855,531
95524120,1371
92035469,3585
95375128,2979
95347958,3973
95350270,1612
95318700,298
95121293,1388
94836832,2000
94554876,1718
94180479,163
93204538,1725
91610708,1915
95760179,1592
95659795,1824
95621182,2837
95573398,1725
95398892,1749
94415028,1573
94323522,2528
39691931,573
95752823,1670
95623515,2822
92481976,3989
95613072,1941
95594411,200
95583431,2505
95572805,1144
95546630,1486
95543630,2709
95395755,1453
95378060,3482
95695653,2435
95695101,655
95619832,160
95679327,570
95670950,716
83110818,2089
95653848,2499
95648810,1877
95648365,2632
95616617,2236
95557795,1091
95498873,2063
95437324,2881
95431375,3151
95428178,694
37293507,434
95382420,1469
86289934,119
95214462,500
95200218,1787
39431179,1548
95168852,926
94963074,1950
85139820,329
83755688,3838
94177536,3398
95698509,1664
95698476,2404
91396256,229
95693940,4291
88445939,3959
34356677,1704
95544188,4040
95467058,4401
83217236,3980
95225120,646
95223952,2977
91364521,877
95098355,3958
95087455,2490
83879204,3967
94380167,1352
87768803,4165
93258720,4341
30858719,1370
88845136,3376
95753685,3049
95740872,2312
34305287,2281
95653759,4242
95640253,1752
95615771,2646
95613736,964
95592803,1541
89423896,3247
95538457,3642
88838103,3989
95518289,810
95517827,2977
90502608,4310
95343949,370
95114770,4477
94918617,1810
94810445,376
94153848,2628
35545532,153
33851575,2037
95757387,2818
95756037,1549
95750606,1336
94271065,1432
95735124,3014
95728924,1739
95717896,1094
95702179,1055
95693949,2704
95661203,1100
95659615,3221
95583614,2569
95600674,1277
95600669,4152
95600524,3271
95600405,2648
95599826,2347
95564979,4386
95564773,2716
95527710,1447
95514579,2018
95511446,228
95054431,3372
83826654,309
90996686,100
95756034,1337
95756451,1254
95749780,1723
95730251,2711
92394097,406
95720462,1251
95065195,1862
95556996,402
95541130,4046
789418,3069
95277861,450
95258788,1792
84147943,4065
85469593,4377
26898170,272
92221641,2137
84053387,1657
95590327,2268
95589987,3963
95304264,1816
95289740,1550
91587605,1436
95225073,646
95166323,1557
90884155,757
39088244,2758
94937768,2256
94843297,2668
94535685,1292
93738244,595
92893033,84
92097360,4088
91774613,770
91693198,1310
91278658,1356
95674539,1135
95641955,1572
95634723,3301
37635062,832
95601964,3214
95572587,2575
95556839,3308
95514598,4072
95512047,2943
91223569,4054
95468210,3933
95468159,4158
95316492,2489
95193755,3280
90114798,130
95097256,778
94926442,1785
89258673,4178
89630218,3953
86224343,652
91135911,2792
95659724,494
95655093,636
95581011,1813
95567636,3344
88814052,3621
95553657,2134
38166412,2295
95511345,910
95475115,1745
95469966,1052
95450746,1703
95343951,1581
95337064,2356
95289384,3344
95166048,2276
95016720,2381
94919729,2939
94442430,4029
92694137,1100
86189856,2598
95752159,1852
95736688,2917
95698594,1152
95622461,1478
35031166,1522
95732836,2869
95730978,2603
95728888,3131
95727892,2134
95725786,3587
95724488,3376
95722025,1111
95720031,2247
95718490,626
95710428,2818
95703193,2350
95702707,385
95702413,2352
95105202,3844
34295275,2969
87495590,496
95105178,4064
95105168,4114
91820125,692
93929757,2546
95425609,2705
95235861,2709
95235298,2798
94758490,764
95730965,972
94595637,1095
95718567,763
95644198,3301
95601674,2499
95542571,1118
30340613,2632
95753959,1212
95736075,746
95724464,3953
94873995,123
94856277,392
94808346,345
94444939,152
95568819,1480
95663587,2909
95724972,1475
95709887,607
90142221,1281
95566027,1658
95421127,2905
95420725,2151
95431484,257
95368443,1176
95303322,1653
95232626,2023
95230531,1780
95221161,2395
30739402,1058
95154500,2227
95096759,2793
95096708,2433
94922415,2846
94761288,474
94584666,949
94220786,1106
81888074,543
95753185,2278
91236759,198
95621015,1083
95585901,1752
95544268,1427
95500031,4084
95499204,4097
94063849,2259
91693117,1310
91542898,1310
91169549,3745
95649036,3853
95628248,3074
95563867,1785
95561057,872
89233453,794
89752608,3773
95312772,421
92377411,3092
88726587,160
95344902,3957
89678060,869
95697594,2826
95657819,4287
95620983,2622
95485513,1604
95470561,2881
95467270,332
95389681,1654
95302071,3038
95290481,2193
92484110,475
95273800,752
95377254,2209
94278441,1155
94368422,2636
94171453,1155
93060022,1176
91757251,1702
95710885,2324
95689617,1627
95648040,2202
93742634,2889
95599614,2109
95456971,1216
95404179,3386
95398423,3465
95277577,3090
86766354,3561
87118786,1119
95211070,3702
94768131,919
93574727,434
89877684,422
89415567,4452
95735611,2481
95617927,2550
95717198,1346
95717211,1158
95705803,1405
95705802,305
95653676,957
95653364,1106
95624988,2251
95590332,1754
95590314,992
1555884,2194
95430075,1900
95318646,1705
95215458,671
94582188,717
95676638,3137
95674660,1851
95539870,326
95636293,2959
95524837,1625
95172859,1574
95227676,1138
95216058,1100
93694504,1171
