OID_;propertyCode;avg_d_kbps;avg_u_kbps
1;93713058;185508;114934
2;95768330;194247;148438
3;95768462;223844;163182
4;95767951;257302;168351
5;95720789;184069;140924
6;95726855;161218;133320
7;95599661;193476;152530
8;95767501;153803;135643
9;95767433;162458;125231
10;95600514;110867;101976
11;95599612;192629;146979
12;95302774;157530;103525
13;95234995;218317;140350
14;95659654;139325;121662
15;91679352;128004;109403
16;95302409;139352;105617
17;95320802;185943;144533
18;95302103;228647;175280
19;95163599;192039;177069
20;95766665;121951;99378
21;95766638;229148;148238
22;33924117;204011;165854
23;95464308;121951;99378
24;95449159;110867;101976
25;95765238;188058;162998
26;95763674;192629;146979
27;95761970;165200;144805
28;95761969;185219;170991
29;95761772;202727;162432
30;86741556;153085;157151
31;95761479;229148;148238
32;88099280;138244;96127
33;95759210;129636;114523
34;95756481;134633;107507
35;82411193;205684;131476
36;95752777;225319;156737
37;95752602;139325;121662
38;95752244;161218;133320
39;95751671;182093;149480
40;95751360;182093;149480
41;95748088;173896;128253
42;95741591;144479;72811
43;95738471;110867;101976
44;95736076;215081;150368
45;95735852;144487;99361
46;95735706;161218;133320
47;95735682;217680;163373
48;95733247;169876;117008
49;94779007;110867;101976
50;94210159;171902;129786
51;92070684;110867;101976
52;91755682;222097;160916
53;91237308;153863;124068
54;89727388;110867;101976
55;95668208;158928;134059
56;95659700;153603;175411
57;95654534;218317;140350
58;95614955;136865;121366
59;95568845;192629;146979
60;95568276;205245;157976
61;95543183;112127;110267
62;95525691;139352;105617
63;95760185;153085;157151
64;95715217;170403;131781
65;95207292;202185;154838
66;89289756;121951;99378
67;95720720;121187;112372
68;95733267;153863;124068
69;95732381;182989;145859
70;95694356;202727;162432
71;34117979;165312;124423
72;35017601;171902;129786
73;95596194;158928;134059
74;95593845;171902;129786
75;95593562;157707;138799
76;95560332;128004;109403
77;95515474;155124;127485
78;91709217;110867;101976
79;95495798;171902;129786
80;95235390;242908;203202
81;89890085;121951;99378
82;90132883;155319;118234
83;89891542;110867;101976
84;93832407;128004;109403
85;90132879;155319;118234
86;39254167;289252;272599
87;95740814;182179;136402
88;95107042;210799;136214
89;95732932;187606;169334
90;95732721;185943;144533
91;95644068;121951;99378
92;95614656;204011;165854
93;94437477;110867;101976
94;95517007;241637;180676
95;94318830;136865;121366
96;95427818;128004;109403
97;95427410;161218;133320
98;95414951;157707;138799
99;95385238;144806;120310
100;95166059;185943;144533
101;94942347;222097;160916
102;93512229;250161;223406
103;95756312;211772;162125
104;95752523;202720;160126
105;95741733;144479;72811
106;88608099;117959;131329
107;95645862;197701;164489
108;94198529;121187;112372
109;95619368;158928;134059
110;95619143;155124;127485
111;95587806;128004;109403
112;95587748;222097;160916
113;95581635;207921;175170
114;95568406;136865;121366
115;95568088;139352;105617
116;95558572;136344;102294
117;95512761;158392;114125
118;95511499;153863;124068
119;86642069;289252;272599
120;95334480;250171;204394
121;95285806;250161;223406
122;95261682;217680;163373
123;95133031;121951;99378
124;83878932;158928;134059
125;94674793;172362;145622
126;83416192;121951;99378
127;94155298;121951;99378
128;36221589;161218;133320
