OID_;propertyCode;nivelruido
1;93713058;1
2;95768330;3
3;95768462;3
4;95767951;2
5;95720789;2
6;95726855;1
7;95599661;3
8;95767501;2
9;95767433;4
10;95600514;5
11;95599612;1
12;95302774;3
13;95234995;6
14;95659654;1
15;91679352;4
16;95302409;3
17;95320802;5
18;95302103;2
19;95163599;2
20;95766665;6
21;95766638;5
22;33924117;3
23;95464308;3
24;95449159;1
25;95765238;5
26;95763674;3
27;95761970;3
28;95761969;3
29;95761772;2
30;86741556;1
31;95761479;2
32;88099280;3
33;95759210;5
34;95756481;6
35;82411193;5
36;95752777;2
37;95752602;1
38;95752244;4
39;95751671;4
40;95751360;6
41;95748088;4
42;95741591;4
43;95738471;1
44;95736076;2
45;95735852;5
46;95735706;4
47;95735682;4
48;95733247;3
49;94779007;5
50;94210159;2
51;92070684;4
52;91755682;3
53;91237308;1
54;89727388;4
55;95668208;2
56;95659700;3
57;95654534;4
58;95614955;1
59;95568845;1
60;95568276;3
61;95543183;4
62;95525691;4
63;95760185;3
64;95715217;5
65;95207292;3
66;89289756;2
67;95720720;2
68;95733267;5
69;95732381;2
70;95694356;3
71;34117979;4
72;35017601;5
73;95596194;2
74;95593845;1
75;95593562;4
76;95560332;4
77;95515474;3
78;91709217;3
79;95495798;1
80;95235390;5
81;89890085;1
82;90132883;4
83;89891542;2
84;93832407;4
85;90132879;4
86;39254167;6
87;95740814;3
88;95107042;3
89;95732932;3
90;95732721;1
91;95644068;1
92;95614656;4
93;94437477;3
94;95517007;4
95;94318830;2
96;95427818;4
97;95427410;2
98;95414951;2
99;95385238;6
100;95166059;1
101;94942347;3
102;93512229;3
103;95756312;2
104;95752523;3
105;95741733;5
106;88608099;3
107;95645862;2
108;94198529;1
109;95619368;3
110;95619143;1
111;95587806;3
112;95587748;3
113;95581635;2
114;95568406;2
115;95568088;4
116;95558572;2
117;95512761;4
118;95511499;5
119;86642069;4
120;95334480;5
121;95285806;2
122;95261682;4
123;95133031;2
124;83878932;3
125;94674793;1
126;83416192;3
127;94155298;4
128;36221589;3
129;35563634;3
130;81458321;3
131;95734874;1
132;95734271;3
133;95722961;3
134;95721825;4
135;95721517;3
136;95720845;2
137;95686420;1
138;95676355;3
139;95660463;1
140;95600342;2
141;37373014;3
142;95551486;1
143;95465127;6
144;95429041;5
145;95406765;4
146;95371029;1
147;95308715;4
148;95220217;3
149;95096672;3
150;94959175;5
151;94893436;2
152;94686973;3
153;94605965;4
154;94310256;3
155;93806401;4
156;93203944;1
157;93235118;5
158;93209925;1
159;93178062;3
160;92792991;2
161;95706371;4
162;95632848;2
163;95703586;3
164;87471708;2
165;95733946;4
166;95727706;3
167;95727577;3
168;95726732;1
169;95693370;1
170;92760464;6
171;95632568;3
172;92961519;4
173;95620449;5
174;95614155;1
175;90114143;4
176;88190623;3
177;95573014;1
178;95388603;4
179;92027980;4
180;95265701;1
181;95171106;3
182;95093890;4
183;94269304;5
184;94045603;3
185;93286367;3
186;93132353;1
187;706709;3
188;95721367;4
189;86971676;4
190;95672494;3
191;95618033;3
192;95527170;4
193;95489598;5
194;93573334;4
195;95421095;1
196;25247817;3
197;90114796;1
198;94907698;2
199;94504816;5
200;93941708;3
201;93896864;1
202;93709904;4
203;87026121;3
204;89112698;1
205;90560508;3
206;89425470;5
207;89131459;3
208;95757600;2
209;95515265;3
210;88817181;3
211;95711992;6
212;40258916;2
213;95627952;2
214;95621234;3
215;95603207;4
216;95593914;2
217;95591042;6
218;95590989;2
219;95588550;5
220;95587106;3
221;95570880;1
222;92156499;6
223;95543417;2
224;91353889;5
225;91219135;3
226;95505317;4
227;95474882;2
228;95383665;2
229;94861026;5
230;28046282;5
231;94596787;1
232;95265996;3
233;94092638;1
234;91110829;2
235;95710132;3
236;95655381;6
237;95627727;4
238;95557909;2
239;95556796;1
240;92961843;2
241;95443468;2
242;95432631;3
243;95394451;2
244;95290261;3
245;94812528;1
246;93468717;4
247;93468716;1
248;91690232;3
249;89090584;3
250;95758939;5
251;95735326;2
252;95098769;2
253;95728176;4
254;95726084;5
255;95689662;2
256;95648051;6
257;95600581;5
258;95597748;1
259;38232477;4
260;95540304;1
261;88065871;1
262;95500504;2
263;95499468;4
264;95495338;3
265;95483739;3
266;95468836;2
267;95264251;3
268;85974388;1
269;95753079;4
270;95747604;3
271;95741707;5
272;95711138;2
273;95675019;5
274;93676738;5
275;95627453;1
276;95596138;3
277;95512158;3
278;36568059;1
279;95448538;2
280;95409350;1
281;95301029;4
282;91759956;2
283;94789232;2
284;94777934;1
285;94694481;3
286;94313951;3
287;94098426;2
288;94050105;4
289;93304615;4
290;93176793;3
291;90553030;2
292;86742165;4
293;86718014;1
294;95756131;2
295;95678223;1
296;95654855;5
297;95524120;4
298;92035469;1
299;95375128;3
300;95347958;1
301;95350270;3
302;95318700;1
303;95121293;2
304;94836832;2
305;94554876;6
306;94180479;6
307;93204538;2
308;91610708;3
309;95760179;2
310;95659795;3
311;95621182;1
312;95573398;4
313;95398892;4
314;94415028;5
315;94323522;5
316;39691931;3
317;95752823;5
318;95623515;2
319;92481976;2
320;95613072;5
321;95594411;1
322;95583431;2
323;95572805;4
324;95546630;2
325;95543630;3
326;95395755;4
327;95378060;6
328;95695653;3
329;95695101;4
330;95619832;4
331;95679327;1
332;95670950;4
333;83110818;1
334;95653848;3
335;95648810;3
336;95648365;2
337;95616617;5
338;95557795;1
339;95498873;4
340;95437324;3
341;95431375;2
342;95428178;6
343;37293507;2
344;95382420;3
345;86289934;4
346;95214462;1
347;95200218;3
348;39431179;6
349;95168852;1
350;94963074;5
351;85139820;4
352;83755688;3
353;94177536;3
354;95698509;3
355;95698476;6
356;91396256;1
357;95693940;1
358;88445939;2
359;34356677;2
360;95544188;5
361;95467058;2
362;83217236;3
363;95225120;1
364;95223952;4
365;91364521;2
366;95098355;4
367;95087455;1
368;83879204;2
369;94380167;3
370;87768803;1
371;93258720;3
372;30858719;4
373;88845136;5
374;95753685;5
375;95740872;1
376;34305287;3
377;95653759;6
378;95640253;4
379;95615771;3
380;95613736;4
381;95592803;4
382;89423896;3
383;95538457;5
384;88838103;2
385;95518289;1
386;95517827;4
387;90502608;2
388;95343949;5
389;95114770;4
390;94918617;4
391;94810445;1
392;94153848;5
393;35545532;6
394;33851575;5
395;95757387;2
396;95756037;5
397;95750606;2
398;94271065;2
399;95735124;2
400;95728924;4
401;95717896;4
