propertyCode,address,province,municipality,district,country,neighborhood,latitude,longitude,distance,floor,price,propertyType,size,exterior,rooms,bathrooms,status,hasLift
93713058,Calle Doctor Nicasio Benlloch,València,València,Benicalap,es,Benicalap,39.4891251,-0.3973836,2645,bj,500,flat,52,True,2,1,good,1.0
95768330,Juan Bautista Comes,València,València,L'Olivereta,es,La Llum,39.4679683,-0.4140414,3178,3,490,flat,76,True,2,1,good,0.0
95768462,Calle de Felipe Salvador,València,València,Camins al Grau,es,Aiora,39.4629836,-0.3380281,3485,3,650,flat,60,False,2,1,good,0.0
95767951,"Calle de la Democracia, Nou Moles",València,València,L'Olivereta,es,Nou Moles,39.4717632,-0.40129549999999997,2066,5,730,flat,75,True,2,1,good,1.0
95720789,barrio La Petxina,València,València,Extramurs,es,La Petxina,39.4725289,-0.39004059999999996,1110,3,720,flat,80,True,3,1,good,0.0
95726855,barrio El Mercat,València,València,Ciutat Vella,es,El Mercat,39.4735918,-0.38033469999999997,382,1,1000,flat,90,True,3,2,good,0.0
95599661,barrio Malilla,València,València,Quatre Carreres,es,Malilla,39.4489341,-0.37817039999999996,2468,6,900,flat,70,True,2,1,good,0.0
95767501,Calle Santos Justo y Pastor,València,València,Algirós,es,L'Illa Perduda,39.4664176,-0.34339909999999996,2951,3,600,flat,67,True,2,1,good,1.0
95767433,"av malvarosa, 20",València,València,Poblats Marítims,es,Playa de la Malvarrosa,39.4778758,-0.3278585,4304,2,650,flat,80,True,3,1,good,0.0
95600514,barrio Sant Francesc,València,València,Ciutat Vella,es,Sant Francesc,39.4694075,-0.3765881,198,1,800,flat,70,True,2,1,good,0.0
95599612,barrio Russafa,València,València,L'Eixample,es,Russafa,39.461043599999996,-0.36820189999999997,1362,2,800,flat,80,True,2,1,good,0.0
95302774,barrio Campanar,València,València,Campanar,es,Campanar,39.482768,-0.39052899999999996,1725,4,1200,flat,100,True,3,2,good,0.0
95234995,barrio En Corts,València,València,Quatre Carreres,es,En Corts,39.4542964,-0.3739655,1891,5,900,flat,70,True,2,1,good,0.0
95659654,barrio El Carme,València,València,Ciutat Vella,es,El Carme,39.4764912,-0.3827694,762,5,960,penthouse,80,True,2,2,good,0.0
91679352,"Francisco Cubells, 10  ",València,València,Poblats Marítims,es,El Grau,39.4632642,-0.3342127,3795,3,599,flat,66,True,3,1,good,1.0
95302409,barrio El Cabanyal-El Canyamelar,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4713938,-0.32673599999999997,4334,2,950,flat,90,True,4,2,good,1.0
95320802,barrio La Creu Coberta,València,València,Jesús,es,La Creu Coberta,39.4527742,-0.3858569,2170,2,650,flat,70,True,2,1,good,1.0
95302103,barrio Benimaclet,València,València,Benimaclet,es,Benimaclet,39.4878381,-0.35773469999999996,2501,1,700,flat,90,True,2,1,good,0.0
95163599,barrio Benicalap,València,València,Benicalap,es,Benicalap,39.4926192,-0.39165069999999996,2691,4,900,flat,80,True,3,1,good,0.0
95766665,barrio Sant Francesc,València,València,Ciutat Vella,es,Sant Francesc,39.4703238,-0.3760593,134,4,875,penthouse,55,True,1,1,renew,1.0
95766638,"Avenida Valladolid, 3",València,València,Rascanya,es,Sant Llorenç,39.4898011,-0.3635701,2385,9,800,flat,75,True,2,2,good,1.0
33924117,Avenida del Cardenal Benlloch,València,València,El Pla del Real,es,Mestalla,39.473796,-0.354981,1933,1,700,flat,70,True,3,1,good,1.0
95464308,Calle San Vicente Mártir,València,València,Ciutat Vella,es,Sant Francesc,39.4733041,-0.37657219999999997,249,3,1350,flat,98,True,2,1,good,1.0
95449159,Calle de Colón,València,València,Ciutat Vella,es,Sant Francesc,39.4666807,-0.3743516,552,8,1000,flat,50,True,2,1,good,1.0
95765238,"Avenida del Primado Reig, 113",València,València,La Saïdia,es,Trinitat,39.4851233,-0.36420949999999996,1916,4,690,flat,54,True,1,1,good,1.0
95763674,barrio En Corts,València,València,Quatre Carreres,es,En Corts,39.4576954,-0.37259749999999997,1545,3,625,flat,100,False,2,1,good,1.0
