propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,parkingSpace,newDevelopmentFinished
93713058,https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/a2/30/da/869927479.jpg,3301008,8,bj,500,flat,rent,52,True,2,1,Calle Doctor Nicasio Benlloch,València,València,Benicalap,es,Benicalap,39.4891251,-0.3973836,False,https://www.idealista.com/inmueble/93713058/,2645,"¿ Buscas una vivienda con accesibilidad?  Tenemos esta vivienda en planta baja, que esta en muy buen estado y que busca nuevos inquilinos: )  ¿ Nos acompañas en esta visita express por tu nueva casa?  Nada más entrar nos encontramos con la cocina office, a un lado el comedor y al fondo la cocina equipada para dejar salir a ese cocinillas que llevas dentro; )  Aunque el piso no tiene muchos metros, están todos muy bien aprovechados en el resto de estancias de las casas, su baño y sus dos habitaciones.  Si es lo que estas buscando no lo pienses mucho, contacta con nosotros y te lo mostraremos: )    *Nota: Alquiler sujeto a la aprobación del seguro de impago. Para su estudio hay que aportar última nómina, contrato laboral ( Ingresos mínimos del conjunto de los inquilinos + - 1.500 € netos, siendo la nómina mínima de 950 € neta ), los ingresos de posibles avalistas se computan aparte. Hay que entregar tres mensualidades para la firma del contrato de arrendamiento ( 1 depósito de fianza + mes en curso + 1 honorarios de agencia, esta última lleva el iva aparte ). Este anuncio no es vinculante, puede contener errores se muestra a titulo informativo y no contractual.",False,good,False,1.0,10,{'typology': 'flat'},"{'subtitle': 'Benicalap, València', 'title': 'Piso en Calle Doctor Nicasio Benlloch'}",False,False,False,False,False,,
95768330,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/46/df/9b/927672633.jpg,46-312-211101,36,3,490,flat,rent,76,True,2,1,Juan Bautista Comes,València,València,L'Olivereta,es,La Llum,39.4679683,-0.4140414,False,https://www.idealista.com/inmueble/95768330/,3178,"Magnifico apartamento amueblado y equipado, situado junto a la avenida del Cid y Mislata, en el barrio de la Luz, una zona bien comunicada y con fácil salida a la V-30 y la carretera de Madrid.  Sus 72 m2 útiles constan de dos dormitorios, el principal con balcón amplio, baño completo de diseño con amplia ducha y amplia cocina office, con moderna armariada y zona de comedor. Su actual y completa reforma, tiene unas calidades excelentes, recién pintado dispone de calefacción por radiadores, aire acondicionado frío y calor, puerta de entrada acorazada e interiores de roble, ventanales oscilobatientes con doble acristalamiento tipo climalit, completamente amueblado y con electrodomésticos(frigorífico, lavadora, lavavajillas, microondas, vitrocerámica, horno, tendedero).  La vivienda es totalmente exterior y muy luminosa, orientación este, sin ascensor. Gastos de comunidad incluidos. Zona con todos los servicios(supermercados, Centro comercial Gran Turia, colegios, etc. ).  Si quieres más información, llámanos para concertar una visita. Solo tienes que coger tu teléfono y ponerte en contacto con nosotros. Te atenderemos con mucho gusto. Este anuncio no es vinculante puede contener errores, se muestra a titulo informativo y no contractual.",False,good,False,0.0,6,{'typology': 'flat'},"{'subtitle': 'La Llum, València', 'title': 'Piso en Juan Bautista Comes'}",False,False,False,False,False,,
95768462,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/19/e1/c0/927672951.jpg,fs011121,19,3,650,flat,rent,60,False,2,1,Calle de Felipe Salvador,València,València,Camins al Grau,es,Aiora,39.4629836,-0.3380281,False,https://www.idealista.com/inmueble/95768462/,3485,"DISPONIBLE PARA YA, incluimos un video donde aun no estaban los electrodomésticos nuevos. se alquila piso en el Grau, muy próxima al Centro Comercial Aqua, con dos habitaciones y un baño  totalmente reformado para entrar a vivir los electrodomésticos son nuevos  el piso es muy luminoso  no está amueblado  ideal para parejas jóvenes.",True,good,False,0.0,11,{'typology': 'flat'},"{'subtitle': 'Aiora, València', 'title': 'Piso en Calle de Felipe Salvador'}",False,False,False,False,False,,
95767951,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/15/01/2e/927659135.jpg,,7,5,730,flat,rent,75,True,2,1,"Calle de la Democracia, Nou Moles",València,València,L'Olivereta,es,Nou Moles,39.4717632,-0.40129549999999997,False,https://www.idealista.com/inmueble/95767951/,2066,"Estupendo piso en alquiler, amueblado y muy luminoso, 2 habitaciones con armarios, 1 baño, salón, cocina con electrodomésticos, galería y balcón. Reformado y muy confortable. Todos los electrodomésticos, incluye lavavajillas y menaje de cocina, agua potable por osmosis, Tendedero, Calentador eléctrico, Aire acondicionado. Buenos vecinos. Ascensor nuevo recién instalado, Altura 5ºpiso. Puerta blindada y acorazada. Inmejorable ubicación accesos Autovía Madrid y Castellón -Barcelona Parada de bus en la puerta, metro Avda. del Cid y Nou d´Octubre a menos de 5 min. Al lado de las Nuevas Consellerías y Parque de Cabecera, paralelo a antiguo cauce del río ideal para hacer deporte Cercano a Hospital General y Nou d´Octubre Centro Comercial Nuevo Centro a menos de 10 min. Muy bien situado con Mercadona, Carrefour, Parque infantil y Colegio a 300 mts. Piso en muy buen estado disponible para entrar el 7 de noviembre. Precio 730€ Gastos comunidad incluidos.",True,good,False,1.0,10,{'typology': 'flat'},"{'subtitle': 'Nou Moles, València', 'title': 'Piso en Calle de la Democracia, Nou Moles'}",False,False,False,False,False,,
95720789,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/90/db/f3/926381256.jpg,97173,15,3,720,flat,rent,80,True,3,1,barrio La Petxina,València,València,Extramurs,es,La Petxina,39.4725289,-0.39004059999999996,False,https://www.idealista.com/inmueble/95720789/,1110,"REF: 97173 Piso con excelente ubicación exterior. Altura piso 3º, piso superficie total 80 m², muy luminoso, con despensa, se entrega amueblado y bien conservado.  Compuesto de:  habitaciones dobles: 3  1 baño, aire acondicionado frío y calor),  armarios empotrados 2), ascensor balcón cocina equipada Gastos de Comunidad incluidos. La Petxina es uno de los barrios que componen el distrito de Extramurs, en el suroeste de Valencia. Sus límites son, por el norte, el paseo de la Pechina; por el oeste, la avenida de Pérez Galdós; por el este, la Gran Vía de Fernando El Católico; y, por el sur, la calle de Àngel Guimerà y la calle del Erudito Orellana. El barrio debe su nombre al paseo de la Pechina petxina en valenciano). Hay una buena comunicación de autobuses y de metro Túria y Àngel Guimerà). Para más información, contactar con el equipo de Area Casa.",False,good,False,0.0,9,{'typology': 'flat'},"{'subtitle': 'La Petxina, València', 'title': 'Piso'}",False,False,False,False,False,,
95726855,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cd/6c/95/926520689.jpg,97076,15,1,1000,flat,rent,90,True,3,2,barrio El Mercat,València,València,Ciutat Vella,es,El Mercat,39.4735918,-0.38033469999999997,False,https://www.idealista.com/inmueble/95726855/,382,"Piso moderno en el centro de Valencia con superficie total 90 m², exterior y con buena iluminación, con ascensor en una calle tranquila a algunos metros del Mercado Central.  Esta compuesto por:  - 3 habitaciones dobles  -2 baños - aire acondicionado frío y calor) - armarios empotrados - calefacción central) - cocina equipada) - comedor estado  -garaje precio incluido) -lavadero -puerta blindada  -trastero incluido) Alquiler de larga duración, gastos de comunidad incluidos  Se entrega amueblado y equipado  El Mercat es el barrio más céntrico del distrito de Ciutat Vella, correspondiente al casco viejo de Valencia, en el centro de la ciudad. Como su propio nombre indica, se extiende en torno al mercado central de Valencia. Sus límites son, entre otros, por el norte, la calle de Quart, la calle de Caballeros, la calle de la Abadía de San Nicolás y la calle de Cadirers; por el este, la calle de Zurradores y la calle de San Vicente Mártir; por el sur, la calle de Adresadors y la calle de la Beata; y, por el oeste, la calle de Maldonado, la calle del Pie de la Cruz, la calle de Santa Teresa y la calle del Moro Zeit. En el centro del barrio, junto al mercado, se ubican también la lonja y la iglesia Santos Juanes. En el extremo este del barrio, se encuentra la original Plaza Redonda. Dada la estrechez de muchas calles antiguas, es recomendable optar por el transporte público: hay una buena comunicación mediante autobús y también es posible acudir a la estación de metro más cercana Àngel Guimerà). Para más información, contactar con el equipo de Area Casa.",False,good,False,0.0,11,{'typology': 'flat'},"{'subtitle': 'El Mercat, València', 'title': 'Piso'}",False,False,False,False,False,,
95599661,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/20/11/3b/922970909.jpg,96860,14,6,900,flat,rent,70,True,2,1,barrio Malilla,València,València,Quatre Carreres,es,Malilla,39.4489341,-0.37817039999999996,False,https://www.idealista.com/inmueble/95599661/,2468,"ref 96860 Precioso piso en alquiler con una superficie total 70 m², situado en la sexta planta exterior de la finca. Orientación sur La vivienda consta de: - 2 dormitorios con armarios empotrados y canapés  - salón comedor - cocina office con neveras doble puerta, horno pirolítico, lavavajillas electrodomésticos de calidad) - balcón cerrado con ventanales - galería  - 1 baño completo  Se entrega amueblado y equipado.  Finca de caravista de 15 años, con dos ascensores que llevan directamente al parking. Garaje opcional por 60€. Dispone de suelo vinílico, suelo de parquet, aire acondicionado, calefacción.  Se admiten mascotas Gastos de ibi y comunidad incluidos en el alquiler  Requisitos: Fianza de 2 meses Barrio Malilla Distrito Quatre Carreres) El barrio de Malilla pertenece al distrito de Quatre Carreres, en el sureste de Valencia. Sus límites son, por el norte, la avenida de Peris y Valero; por el este, la avenida de Ausiàs March; por el sur, el Nuevo Cauce del Río Turia; y, por el oeste, la avenida del Poeta Federico García Lorca. La avenida del Pianista Martínez Carrasco divide en dos partes el barrio; la mitad norte es la más poblada. El barrio ofrece un fácil acceso en coche por la autovía V-30. También es posible tomar el autobús. Para más información, contactar con el equipo de AreaCasa.",False,good,False,0.0,13,{'typology': 'flat'},"{'subtitle': 'Malilla, València', 'title': 'Piso'}",False,False,False,False,False,,
95767501,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/92/6f/98/927647498.jpg,,16,3,600,flat,rent,67,True,2,1,Calle Santos Justo y Pastor,València,València,Algirós,es,L'Illa Perduda,39.4664176,-0.34339909999999996,False,https://www.idealista.com/inmueble/95767501/,2951,"Piso en alquiler en la Calle Santos Justo y Pastor, muy próximo al Jardín de Ayora y a un paso de la parada de metro de Ayora. La vivienda se encuentra muy próxima a Blasco Ibáñez y al Barrio de moda de Cabañal-Canyamelar. Se distribuye en hall de entrada, comedor-salón, cocina independiente, cuarto de baño con ducha y 2 dormitorios. Dispone también de un armario situado en el pasillo, y que puede utilizarse como despensa o para productos de limpieza entre otros usos. La vivienda está amueblada, dada de alta de suministros y lista para ocupar de inmediato. Dispone de una máquina de aire acondicionado portátil situada en el salón. En definitiva, el inmueble es un apartamento totalmente acondicionado y listo para entrar a vivir, confortable, bien situado y comercializado a un precio razonable. Para más información no dude en contactar con Fincas Turia por teléfono o e-mail.",True,good,False,1.0,9,{'typology': 'flat'},"{'subtitle': ""L'Illa Perduda, València"", 'title': 'Piso en Calle Santos Justo y Pastor'}",False,False,False,False,False,,
95767433,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0f/c9/b2/927646059.jpg,LULY,17,2,650,flat,rent,80,True,3,1,"av malvarosa, 20",València,València,Poblats Marítims,es,Playa de la Malvarrosa,39.4778758,-0.3278585,True,https://www.idealista.com/inmueble/95767433/,4304,"Piso Amplio de 3 habitaciones dos dobles y otra sencilla. se encuentra en la malvarrosa, en una segunda planta SIN ASENSOR. La finca es familiar y tranquila a muy pocos metros de la playa. equipado con electrodomésticos semi nuevos, cocina con gas butano, el piso es de origen pero en buen estado. ideal para familias o estudiantes.",False,good,False,0.0,8,{'typology': 'flat'},"{'subtitle': 'Playa de la Malvarrosa, València', 'title': 'Piso en av malvarosa, 20'}",False,False,False,False,False,,
95600514,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a8/53/5c/922997787.jpg,96786,14,1,800,flat,rent,70,True,2,1,barrio Sant Francesc,València,València,Ciutat Vella,es,Sant Francesc,39.4694075,-0.3765881,False,https://www.idealista.com/inmueble/95600514/,198,"REF. 96786 Magnifico Piso se Alquila Amueblado. Consta con una Superficie total 70 m², superficie útil 67 m². Tiene: - Salón amplio y luminoso. - 2 Habitaciones dobles. - Cocina totalmente equipada. - 1 Baño completo. - Aire acondicionado. - Calefacción. - Garaje - Orientación oeste. - Planta 1° con Ascensor. “Requisito”: Fianza de 1 mes. Russafa o Ruzafa, en castellano) es uno de los barrios que conforman el distrito de L’Eixample, en el sureste de Valencia. Linda, al norte, con la calle de Játiva, la calle de Ruzafa y la avenida del Reino de Valencia; al sureste, con la avenida de Peris y Valero; y, al oeste, con la calle de Gibraltar y la calle de Alicante. Russafa es uno de los barrios históricos de la ciudad. En otro tiempo un municipio independiente de origen andalusí, hoy en día el barrio cuenta con un imponente patrimonio histórico y cultural, con edificios como la Iglesia Parroquial de San Valero y San Vicente Mártir, el Convento Nuestra Señora de los Ángeles o el Mercado Municipal de Ruzafa. En el extremo norte del barrio se encuentra ubicada la plaza de toros de Valencia, para interés de los más taurinos. Es posible tomar el autobús o el metro Xàtiva). Para más información, contactar con el equipo de Area Casa.",False,good,False,0.0,11,{'typology': 'flat'},"{'subtitle': 'Sant Francesc, València', 'title': 'Piso'}",False,False,False,False,False,,
