propertyCode,address,district,neighborhood,latitude,longitude,distance,floor,price,propertyType,size,exterior,rooms,bathrooms,status,hasLift,idCity,distanceBeach,internet,zonaTranquila,distanceCoworking,safety,score,available,thumbnail
93713058,Calle Doctor Nicasio Benlloch,Benicalap,Benicalap,39.4891251,-0.3973836,2645,0,500,flat,52,True,2,1,good,True,1,6246,186,True,3000,3,2,True,https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/a2/30/da/869927479.jpg
95768330,Juan Bautista Comes,L'Olivereta,La Llum,39.4679683,-0.4140414,3178,3,490,flat,76,True,2,1,good,False,1,7846,194,False,3000,2,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/46/df/9b/927672633.jpg
95768462,Calle de Felipe Salvador,Camins al Grau,Aiora,39.4629836,-0.3380281,3485,3,650,flat,60,False,2,1,good,False,1,2564,224,False,3000,4,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/19/e1/c0/927672951.jpg
95767951,"Calle de la Democracia, Nou Moles",L'Olivereta,Nou Moles,39.4717632,-0.4012954999999999,2066,5,730,flat,75,True,2,1,good,True,1,6687,257,True,3000,4,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/15/01/2e/927659135.jpg
95720789,barrio La Petxina,Extramurs,La Petxina,39.4725289,-0.3900405999999999,1110,3,720,flat,80,True,3,1,good,False,1,5724,184,True,3000,4,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/90/db/f3/926381256.jpg
95726855,barrio El Mercat,Ciutat Vella,El Mercat,39.4735918,-0.3803346999999999,382,1,1000,flat,90,True,3,2,good,False,1,4886,161,True,3000,2,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cd/6c/95/926520689.jpg
95599661,barrio Malilla,Quatre Carreres,Malilla,39.4489341,-0.3781703999999999,2468,6,900,flat,70,True,2,1,good,False,1,5987,193,False,3000,3,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/20/11/3b/922970909.jpg
95767501,Calle Santos Justo y Pastor,Algirós,L'Illa Perduda,39.4664176,-0.3433990999999999,2951,3,600,flat,67,True,2,1,good,True,1,2491,154,True,3000,1,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/92/6f/98/927647498.jpg
95767433,"av malvarosa, 20",Poblats Marítims,Playa de la Malvarrosa,39.4778758,-0.3278585,4304,2,650,flat,80,True,3,1,good,False,1,695,162,False,3000,1,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0f/c9/b2/927646059.jpg
95600514,barrio Sant Francesc,Ciutat Vella,Sant Francesc,39.4694075,-0.3765881,198,1,800,flat,70,True,2,1,good,False,1,4710,111,False,3000,2,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a8/53/5c/922997787.jpg
95599612,barrio Russafa,L'Eixample,Russafa,39.4610436,-0.3682018999999999,1362,2,800,flat,80,True,2,1,good,False,1,4488,193,True,3000,1,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/10/df/51/922969136.jpg
95302774,barrio Campanar,Campanar,Campanar,39.482768,-0.3905289999999999,1725,4,1200,flat,100,True,3,2,good,False,1,5630,158,False,3000,2,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ff/cf/5b/914751300.jpg
95234995,barrio En Corts,Quatre Carreres,En Corts,39.4542964,-0.3739655,1891,5,900,flat,70,True,2,1,good,False,1,5330,218,False,3000,3,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c1/c6/5a/912994693.jpg
95659654,barrio El Carme,Ciutat Vella,El Carme,39.4764912,-0.3827694,762,5,960,penthouse,80,True,2,2,good,False,1,5028,139,True,3000,4,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/40/bd/5a/924611768.jpg
91679352,"Francisco Cubells, 10  ",Poblats Marítims,El Grau,39.4632642,-0.3342127,3795,3,599,flat,66,True,3,1,good,True,1,2409,128,False,3000,3,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1d/a0/9e/820614736.jpg
95302409,barrio El Cabanyal-El Canyamelar,Poblats Marítims,El Cabanyal-El Canyamelar,39.4713938,-0.3267359999999999,4334,2,950,flat,90,True,4,2,good,True,1,1378,139,False,3000,2,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/78/1a/64/914742648.jpg
95320802,barrio La Creu Coberta,Jesús,La Creu Coberta,39.4527742,-0.3858569,2170,2,650,flat,70,True,2,1,good,True,1,6260,186,False,3000,3,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/10/f6/b2/915222475.jpg
95302103,barrio Benimaclet,Benimaclet,Benimaclet,39.4878381,-0.3577346999999999,2501,1,700,flat,90,True,2,1,good,False,1,2851,229,True,3000,1,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4e/82/e6/914735559.jpg
95163599,barrio Benicalap,Benicalap,Benicalap,39.4926192,-0.3916506999999999,2691,4,900,flat,80,True,3,1,good,False,1,5810,192,True,3000,4,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6c/3c/29/907825477.jpg
95766665,barrio Sant Francesc,Ciutat Vella,Sant Francesc,39.4703238,-0.3760593,134,4,875,penthouse,55,True,1,1,renew,True,1,4633,122,False,3000,1,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/98/15/30/927613543.jpg
95766638,"Avenida Valladolid, 3",Rascanya,Sant Llorenç,39.4898011,-0.3635701,2385,9,800,flat,75,True,2,2,good,True,1,3383,229,False,3000,2,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/b0/a6/927612771.jpg
33924117,Avenida del Cardenal Benlloch,El Pla del Real,Mestalla,39.473796,-0.354981,1933,1,700,flat,70,True,3,1,good,True,1,2803,204,False,3000,1,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a0/51/af/927603592.jpg
95464308,Calle San Vicente Mártir,Ciutat Vella,Sant Francesc,39.4733041,-0.3765721999999999,249,3,1350,flat,98,True,2,1,good,True,1,4580,122,False,3000,3,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/48/b6/55/919035666.jpg
95449159,Calle de Colón,Ciutat Vella,Sant Francesc,39.4666807,-0.3743516,552,8,1000,flat,50,True,2,1,good,True,1,4645,111,True,3000,4,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7b/f3/0f/920079345.jpg
95765238,"Avenida del Primado Reig, 113",La Saïdia,Trinitat,39.4851233,-0.3642094999999999,1916,4,690,flat,54,True,1,1,good,True,1,3373,188,False,3000,2,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7c/4e/e8/927575904.jpg
